['2024-12-17 19:31:05.396735', {'0x433b0b38': 149, '0x336918e8': 65, '0x433aca0c': 67, '0x43590ff4': 60}]
['2024-12-17 19:31:10.103421', {'0x433b0b38': 149, '0x336918e8': 65, '0x433aca0c': 68, '0x43590ff4': 60}]
['2024-12-17 19:31:42.881955', {'0x433b0b38': 149, '0x336918e8': 65, '0x433aca0c': 68, '0x43590ff4': 61}]
['2024-12-17 19:31:49.497934', {'0x433b0b38': 150, '0x336918e8': 65, '0x433aca0c': 68, '0x43590ff4': 61}]
['2024-12-17 19:31:50.370502', {'0x433b0b38': 151, '0x336918e8': 65, '0x433aca0c': 68, '0x43590ff4': 61}]
['2024-12-17 19:32:05.655616', {'0x433b0b38': 151, '0x336918e8': 66, '0x433aca0c': 68, '0x43590ff4': 61}]
['2024-12-17 19:32:09.958471', {'0x433b0b38': 151, '0x336918e8': 66, '0x433aca0c': 69, '0x43590ff4': 61}]
['2024-12-17 19:32:42.805729', {'0x433b0b38': 151, '0x336918e8': 66, '0x433aca0c': 69, '0x43590ff4': 62}]
['2024-12-17 19:32:49.718912', {'0x433b0b38': 152, '0x336918e8': 66, '0x433aca0c': 69, '0x43590ff4': 62}]
['2024-12-17 19:32:50.647780', {'0x433b0b38': 153, '0x336918e8': 66, '0x433aca0c': 69, '0x43590ff4': 62}]
['2024-12-17 19:33:05.653479', {'0x433b0b38': 153, '0x336918e8': 67, '0x433aca0c': 69, '0x43590ff4': 62}]
['2024-12-17 19:33:10.054854', {'0x433b0b38': 153, '0x336918e8': 67, '0x433aca0c': 70, '0x43590ff4': 62}]
['2024-12-17 19:33:42.846676', {'0x433b0b38': 153, '0x336918e8': 67, '0x433aca0c': 70, '0x43590ff4': 63}]
['2024-12-17 19:33:50.238172', {'0x433b0b38': 154, '0x336918e8': 67, '0x433aca0c': 70, '0x43590ff4': 63}]
['2024-12-17 19:33:50.768073', {'0x433b0b38': 155, '0x336918e8': 67, '0x433aca0c': 70, '0x43590ff4': 63}]
['2024-12-17 19:34:05.875787', {'0x433b0b38': 155, '0x336918e8': 68, '0x433aca0c': 70, '0x43590ff4': 63}]
['2024-12-17 19:34:10.261611', {'0x433b0b38': 155, '0x336918e8': 68, '0x433aca0c': 71, '0x43590ff4': 63}]
['2024-12-17 19:34:43.048013', {'0x433b0b38': 155, '0x336918e8': 68, '0x433aca0c': 71, '0x43590ff4': 64}]
['2024-12-17 19:34:50.469357', {'0x433b0b38': 156, '0x336918e8': 68, '0x433aca0c': 71, '0x43590ff4': 64}]
['2024-12-17 19:34:51.343165', {'0x433b0b38': 157, '0x336918e8': 68, '0x433aca0c': 71, '0x43590ff4': 64}]
['2024-12-17 19:34:51.878304', {'0x433b0b38': 158, '0x336918e8': 68, '0x433aca0c': 71, '0x43590ff4': 64}]
['2024-12-17 19:35:06.047552', {'0x433b0b38': 158, '0x336918e8': 69, '0x433aca0c': 71, '0x43590ff4': 64}]
['2024-12-17 19:35:10.418617', {'0x433b0b38': 158, '0x336918e8': 69, '0x433aca0c': 72, '0x43590ff4': 64}]
['2024-12-17 19:35:42.948948', {'0x433b0b38': 158, '0x336918e8': 69, '0x433aca0c': 72, '0x43590ff4': 65}]
['2024-12-17 19:35:50.908084', {'0x433b0b38': 159, '0x336918e8': 69, '0x433aca0c': 72, '0x43590ff4': 65}]
